FM07 FM08 FM14
B2721.001 75.13 53.63 91.5
B2721.002 62.25 88.63 89.5
B2721.003 86 82.88 91.5
B2721.004 NA 61.88 86.63
B2721.005 51.75 49.25 88.63
B2721.006 80.63 88.88 88.63
B2721.007 63.25 47.63 89.5
B2721.008 60.88 44 85.75
B2721.010 104.25 94.88 89.5
B2721.011 126.25 138 103
B2721.012 62.25 111.25 93.25
B2721.013 100.63 100.75 93.25
B2721.014 35.58 9.75 80
B2721.015 86 95.63 95.25
B2721.016 42.75 51.5 86.63
B2721.017 78.75 87.5 92.38
B2721.018 84.38 88 92.38
B2721.019 86 92.13 91.5
B2721.020 46.25 26.75 83.75
B2721.021 62.25 99.13 89.5
B2721.022 60.75 67.63 88.63
B2721.024 NA 106.5 92.81
B2721.025 93.25 121 92.38
B2721.026 100.63 109.75 NA
B2721.027 62.5 55.88 85.75
B2721.028 68.13 57 83.75
B2721.029 42.88 33.63 83.75
B2721.030 37.38 42.63 NA
B2721.031 64.25 71.63 92.38
B2721.032 59 87.25 91.5
B2721.033 86.38 97.25 93.25
B2721.034 108 116 100.13
B2721.035 80.63 106.38 93.25
B2721.036 73.5 66.13 90.38
B2721.037 71.5 98.38 90.38
B2721.038 44.5 45.75 88.63
B2721.039 93.38 98.75 NA
B2721.040 71.38 88 93.25
B2721.041 73.25 91.25 98.13
B2721.042 71.38 99.38 97.25
B2721.043 48 61.25 83.75
B2721.044 40.88 40.63 85.75
B2721.045 78.88 100.38 92.38
B2721.046 46.5 41.38 85.75
B2721.047 130 139 105
B2721.048 66.25 59.25 91.5
B2721.049 86 49.75 92.38
B2721.050 73.38 85.25 88.63
B2721.051 93.38 90.38 95.25
B2721.052 66.25 49.88 88.63
B2721.053 84.25 102.5 93.25
B2721.054 82.25 106.88 90.38
B2721.055 64.5 54.63 91.5
B2721.057 61 51.38 85.75
B2721.058 86.13 62.75 92.38
B2721.059 77.13 114.13 96.13
B2721.060 86.13 101.5 94.38
B2721.061 73.13 93.13 93.25
B2721.062 39.13 32.63 87.5
B2721.063 93.38 98.25 93.25
B2721.064 82.38 106.5 93.25
B2721.066 82.38 86.63 85.75
B2721.067 64.38 69.5 91.5
B2721.068 84.25 80.88 93.25
B2721.069 41.13 15.38 85.75
B2721.070 82.38 90.13 88.63
B2721.071 44.88 30.25 86.63
B2721.072 82.38 110.13 93.25
B2721.073 111.63 113.88 96.13
B2721.074 89.63 106.38 90.38
B2721.075 55.25 67.5 83.75
B2721.077 82.25 111.25 93.25
B2721.078 104.38 112.38 93.25
B2721.079 75.13 74.13 90.38
B2721.080 73.5 67.13 88.63
B2721.081 71.63 65.38 85.75
B2721.083 57.13 35.88 83.75
B2721.084 37.38 25.25 82.88
B2721.085 86 74.25 88.63
B2721.086 37.25 42 83.75
B2721.087 75.13 82.38 85.75
B2721.089 73.38 81.38 86.63
B2721.090 39.38 25.38 81.75
B2721.091 78.63 110.88 92.38
B2721.092 69.75 70.63 89.5
B2721.093 104.13 108.75 92.38
B2721.094 44.63 36.38 85.75
B2721.095 60.75 69 88.63
B2721.096 69.63 95.13 89.5
B2721.098 71.38 84.5 92.38
B2721.099 57.5 37.63 85.75
B2721.101 89.63 102.13 91.5
B2721.102 69.88 64.5 95.25
B2721.103 69.75 37.13 92.38
B2721.104 93.5 121.25 95.25
B2721.105 97 104.25 96.13
B2721.107 100.5 104.88 100.13
B2721.108 78.63 90.75 89.5
B2721.110 53.63 41.88 88.63
B2721.111 46.38 49.5 84.63
B2721.115 93.25 116 95.25
B2721.116 75.25 73.5 91.5
B2721.118 66.13 99 93.25
B2721.119 35.5 8.88 83.75
B2721.120 89.63 108.88 93.25
B2721.121 86 97.63 93.25
B2721.122 93.38 91.88 93.25
B2721.123 89.75 83 85.75
B2721.124 64.13 57.75 87.5
B2721.125 67.75 113.25 90.38
B2721.126 59.13 56.13 85.75
B2721.127 82.38 114.88 98.13
B2721.128 49.88 48.88 83.75
B2721.129 77.25 64.63 91.5
B2721.130 126.25 144 100.13
B2721.131 59 53.25 82.88
B2721.132 73.83 113.38 93.25
B2721.133 55.5 45.75 91.5
B2721.135 53.5 53.13 85.75
B2721.136 75.25 90.25 95.25
B2721.138 48.13 64.25 88.63
B2721.139 64 122.13 93.25
B2721.140 86 103.63 88.63
B2721.141 108 126 93.25
B2721.142 54.67 48.38 84.88
B2721.143 77 84.63 85.75
B2721.144 67.63 109.25 90.38
B2721.145 97 124.13 98.13
B2721.146 97 106.88 92.38
B2721.147 86 118 93.25
B2721.148 97.13 116.63 95.25
B2721.149 68.13 48.63 91.5
B2721.150 89.63 89.13 87.5
B2721.151 68.13 69.25 85.75
B2721.152 93.38 120.25 93.25
B2721.153 85.88 93.13 93.25
B2721.154 59.13 45.88 88.63
B2721.155 118.75 133 90.38
B2721.156 69.63 81.75 95.25
B2721.157 53.25 18.63 89.5
B2721.158 73.5 79.25 91.5
B2721.159 82.38 77.38 93.25
B2721.160 74.88 127.13 95.25
